arg_line_id,arg_instance_id,arg_ref_id,arg_ref_name,argument_text,email_id,created_at,speaker_name,speaker_email,speaker_role,topic_id,topic_side,reasoning_name,sophism_name,sophism_category,fact_ref_id,fact_veracity_pct,relevance,reasoning_credibility,impact_score,impact_direction,hidden_topic_hint,hidden_topic_confidence,strength,needs_review,notes
ARG-L-0000001,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000002,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000003,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000004,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000005,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000006,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000007,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000008,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000009,ARGI-9ff984da74,ARREF-e372ac9b3c,(argument),,2024:2,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000010,ARGI-9ff984da74,ARREF-e372ac9b3c,(argument),,2024:2,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000011,ARGI-9ff984da74,ARREF-e372ac9b3c,(argument),,2024:2,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000012,ARGI-9ff984da74,ARREF-e372ac9b3c,(argument),,2024:2,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000013,ARGI-36d327d97e,ARREF-e372ac9b3c,(argument),,2024:3,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000014,ARGI-38a4096d11,ARREF-e372ac9b3c,(argument),,2024:4,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000015,ARGI-38a4096d11,ARREF-e372ac9b3c,(argument),,2024:4,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000016,ARGI-38a4096d11,ARREF-e372ac9b3c,(argument),,2024:4,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000017,ARGI-38a4096d11,ARREF-e372ac9b3c,(argument),,2024:4,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000018,ARGI-38a4096d11,ARREF-e372ac9b3c,(argument),,2024:4,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000019,ARGI-d6227bcef4,ARREF-e372ac9b3c,(argument),,2024:5,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000020,ARGI-d6227bcef4,ARREF-e372ac9b3c,(argument),,2024:5,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000021,ARGI-d6227bcef4,ARREF-e372ac9b3c,(argument),,2024:5,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000022,ARGI-d6227bcef4,ARREF-e372ac9b3c,(argument),,2024:5,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000023,ARGI-30ca759090,ARREF-e372ac9b3c,(argument),,2024:6,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000024,ARGI-30ca759090,ARREF-e372ac9b3c,(argument),,2024:6,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000025,ARGI-30ca759090,ARREF-e372ac9b3c,(argument),,2024:6,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000026,ARGI-30ca759090,ARREF-e372ac9b3c,(argument),,2024:6,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000027,ARGI-8e88a769ac,ARREF-e372ac9b3c,(argument),,2024:7,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000028,ARGI-8e88a769ac,ARREF-e372ac9b3c,(argument),,2024:7,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000029,ARGI-8e88a769ac,ARREF-e372ac9b3c,(argument),,2024:7,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000030,ARGI-8e88a769ac,ARREF-e372ac9b3c,(argument),,2024:7,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000031,ARGI-8e88a769ac,ARREF-e372ac9b3c,(argument),,2024:7,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000032,ARGI-8e88a769ac,ARREF-e372ac9b3c,(argument),,2024:7,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000033,ARGI-8e88a769ac,ARREF-e372ac9b3c,(argument),,2024:7,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000034,ARGI-8e88a769ac,ARREF-e372ac9b3c,(argument),,2024:7,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000035,ARGI-3d565366f0,ARREF-e372ac9b3c,(argument),,2024:9,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000036,ARGI-3d565366f0,ARREF-e372ac9b3c,(argument),,2024:9,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000037,ARGI-3d565366f0,ARREF-e372ac9b3c,(argument),,2024:9,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000038,ARGI-3d565366f0,ARREF-e372ac9b3c,(argument),,2024:9,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000039,ARGI-d02bba0eac,ARREF-e372ac9b3c,(argument),,2024:11,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000040,ARGI-d02bba0eac,ARREF-e372ac9b3c,(argument),,2024:11,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000041,ARGI-d02bba0eac,ARREF-e372ac9b3c,(argument),,2024:11,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000042,ARGI-d02bba0eac,ARREF-e372ac9b3c,(argument),,2024:11,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000043,ARGI-d02bba0eac,ARREF-e372ac9b3c,(argument),,2024:11,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000044,ARGI-6ccd28395d,ARREF-e372ac9b3c,(argument),,2024:13,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000045,ARGI-6ccd28395d,ARREF-e372ac9b3c,(argument),,2024:13,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000046,ARGI-6ccd28395d,ARREF-e372ac9b3c,(argument),,2024:13,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000047,ARGI-6ccd28395d,ARREF-e372ac9b3c,(argument),,2024:13,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000048,ARGI-6ccd28395d,ARREF-e372ac9b3c,(argument),,2024:13,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000049,ARGI-08ec3ef8d0,ARREF-e372ac9b3c,(argument),,2024:15,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000050,ARGI-08ec3ef8d0,ARREF-e372ac9b3c,(argument),,2024:15,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000051,ARGI-08ec3ef8d0,ARREF-e372ac9b3c,(argument),,2024:15,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000052,ARGI-08ec3ef8d0,ARREF-e372ac9b3c,(argument),,2024:15,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000053,ARGI-08ec3ef8d0,ARREF-e372ac9b3c,(argument),,2024:15,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000054,ARGI-08ec3ef8d0,ARREF-e372ac9b3c,(argument),,2024:15,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000055,ARGI-08ec3ef8d0,ARREF-e372ac9b3c,(argument),,2024:15,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000056,ARGI-b3b9623dbd,ARREF-e372ac9b3c,(argument),,2024:18,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000057,ARGI-b3b9623dbd,ARREF-e372ac9b3c,(argument),,2024:18,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000058,ARGI-b3b9623dbd,ARREF-e372ac9b3c,(argument),,2024:18,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000059,ARGI-b3b9623dbd,ARREF-e372ac9b3c,(argument),,2024:18,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000060,ARGI-b3b9623dbd,ARREF-e372ac9b3c,(argument),,2024:18,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000061,ARGI-b3b9623dbd,ARREF-e372ac9b3c,(argument),,2024:18,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000062,ARGI-a2680df25b,ARREF-e372ac9b3c,(argument),,2024:19,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000063,ARGI-a2680df25b,ARREF-e372ac9b3c,(argument),,2024:19,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000064,ARGI-a2680df25b,ARREF-e372ac9b3c,(argument),,2024:19,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000065,ARGI-a2680df25b,ARREF-e372ac9b3c,(argument),,2024:19,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000066,ARGI-845bda0ff2,ARREF-e372ac9b3c,(argument),,2024:20,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000067,ARGI-845bda0ff2,ARREF-e372ac9b3c,(argument),,2024:20,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000068,ARGI-b81c330195,ARREF-e372ac9b3c,(argument),,2024:21,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000069,ARGI-b81c330195,ARREF-e372ac9b3c,(argument),,2024:21,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000070,ARGI-b81c330195,ARREF-e372ac9b3c,(argument),,2024:21,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000071,ARGI-5c84c38bbf,ARREF-e372ac9b3c,(argument),,2024:22,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000072,ARGI-5c84c38bbf,ARREF-e372ac9b3c,(argument),,2024:22,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000073,ARGI-5c84c38bbf,ARREF-e372ac9b3c,(argument),,2024:22,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000074,ARGI-976e838fe1,ARREF-e372ac9b3c,(argument),,2024:23,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000075,ARGI-976e838fe1,ARREF-e372ac9b3c,(argument),,2024:23,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000076,ARGI-976e838fe1,ARREF-e372ac9b3c,(argument),,2024:23,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000077,ARGI-976e838fe1,ARREF-e372ac9b3c,(argument),,2024:23,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000078,ARGI-976e838fe1,ARREF-e372ac9b3c,(argument),,2024:23,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000079,ARGI-976e838fe1,ARREF-e372ac9b3c,(argument),,2024:23,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000080,ARGI-fe01347653,ARREF-e372ac9b3c,(argument),,2024:25,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000081,ARGI-fe01347653,ARREF-e372ac9b3c,(argument),,2024:25,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000082,ARGI-fe01347653,ARREF-e372ac9b3c,(argument),,2024:25,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000083,ARGI-fe01347653,ARREF-e372ac9b3c,(argument),,2024:25,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000084,ARGI-fe01347653,ARREF-e372ac9b3c,(argument),,2024:25,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000085,ARGI-fe01347653,ARREF-e372ac9b3c,(argument),,2024:25,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000086,ARGI-fe01347653,ARREF-e372ac9b3c,(argument),,2024:25,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000087,ARGI-fe01347653,ARREF-e372ac9b3c,(argument),,2024:25,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000088,ARGI-27365dc42b,ARREF-e372ac9b3c,(argument),,2024:26,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000089,ARGI-27365dc42b,ARREF-e372ac9b3c,(argument),,2024:26,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000090,ARGI-27365dc42b,ARREF-e372ac9b3c,(argument),,2024:26,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000091,ARGI-27365dc42b,ARREF-e372ac9b3c,(argument),,2024:26,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000092,ARGI-27365dc42b,ARREF-e372ac9b3c,(argument),,2024:26,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000093,ARGI-d680bd225c,ARREF-e372ac9b3c,(argument),,2024:27,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000094,ARGI-d680bd225c,ARREF-e372ac9b3c,(argument),,2024:27,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000095,ARGI-d680bd225c,ARREF-e372ac9b3c,(argument),,2024:27,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000096,ARGI-d680bd225c,ARREF-e372ac9b3c,(argument),,2024:27,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000097,ARGI-d680bd225c,ARREF-e372ac9b3c,(argument),,2024:27,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000098,ARGI-ae47552c51,ARREF-e372ac9b3c,(argument),,2024:28,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
